LACCID	AVG(BWDOWNLOAD)	AVG(BWUPLOAD)
40031/1282	6.664560317993164	3.359600305557251
40031/1280	12.115055746469261	2.719491572720287
40131/4609	13.230036946814698	3.203897073617747
40131/6145	17.169558449789527	3.233692035675905
40131/6146	16.19037264480274	3.404220382372538
40031/4353	12.618140629359655	3.0122987179332106
40131/2562	13.61343357408605	3.17140394203283
40031/4352	15.275938005197649	3.315835444194619
40031/1281	13.120366382598878	3.4212313455301073
40031/4354	14.755274081239998	2.927405415281606
40031/61952	11.355224234955962	2.7692260016572225
40031/61442	12.247765671123158	3.1844232607855116
