ID	OVERHEAD	TOTALTIME	OH
2	72	4441	0.016212564737671697
3	138	4519	0.030537729586191636
4	162	4281	0.0378416257883672
5	144	4264	0.03377110694183865
6	1493	10107	0.14771940239438014
7	631	4724	0.13357324301439458
8	580	11069	0.05239859065859608
9	176	6029	0.029192237518659812
10	169	1891	0.0893707033315706
11	131	3219	0.04069586828207518
12	147	7608	0.019321766561514197
13	235	2497	0.09411293552262716
14	86	1679	0.05122096486003574
15	280	3022	0.09265387160820648
16	304	4856	0.06260296540362438
17	364	48878	0.007447113220671877
18	253	13733	0.018422777251875046
19	28	16195	0.0017289286816918803
20	378	8932	0.04231974921630094
21	405	3817	0.10610427036940005
22	215	21480	0.010009310986964618
23	135	2091	0.06456241032998565
24	113	2587	0.04367993815229996
25	441	6022	0.0732314845566257
26	512	3290	0.15562310030395138
27	408	2724	0.14977973568281938
28	347	5577	0.06221983145060068
29	367	4567	0.08035909787606745
30	340	3238	0.10500308832612724
31	432	1979	0.21829206670035373
32	362	3413	0.10606504541459127
33	410	7245	0.05659075224292615
34	265	3045	0.08702791461412152
35	355	2297	0.1545494122768829
36	409	3574	0.11443760492445439
